Round,Model,Accuracy,F1,Precision,Recall,y_pred,probas
8,Random Forest,0.874502712477396,0.8358437409338427,0.8397250590873837,0.8583971523631339,[ 7  7  4 ...  4 13  4],"[[0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.002 0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 ...
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.002 0.    ... 0.    0.996 0.002]
 [0.    0.    0.    ... 0.    0.    0.   ]]"
8,LightGBM,0.8680256452408351,0.825683380513827,0.8410188187153681,0.856153964503817,[ 7  7  4 ...  4 13  4],"[[6.29021489e-07 2.70906885e-09 6.70118790e-10 ... 7.84128202e-07
  2.22787442e-09 1.89442978e-07]
 [4.51309799e-06 2.25296224e-09 6.32514676e-10 ... 8.19800136e-07
  2.58503972e-09 1.52966142e-08]
 [1.25713735e-07 2.49233113e-09 6.73472955e-10 ... 3.07752896e-07
  3.94677147e-09 1.51319478e-08]
 ...
 [1.25713735e-07 2.49233113e-09 6.73472955e-10 ... 3.07752896e-07
  3.94677147e-09 1.51319478e-08]
 [6.16976803e-07 3.71085130e-06 2.44387969e-08 ... 1.12735757e-06
  9.99981800e-01 9.96416421e-06]
 [1.25713735e-07 2.49233113e-09 6.73472955e-10 ... 3.07752896e-07
  3.94677147e-09 1.51319478e-08]]"
8,Logistic Regression,0.6732533289495315,0.604918370521298,0.6412082430217585,0.6616519845077018,[ 7  7  4 ...  4 13  4],"[[1.67660419e-09 7.46932687e-06 1.06174472e-13 ... 8.70806993e-07
  2.84567668e-07 2.19369711e-06]
 [4.12974445e-09 1.67704274e-09 2.75066757e-09 ... 2.74348493e-05
  4.27896555e-09 6.06837697e-08]
 [7.20143111e-10 8.71595584e-17 1.22357548e-09 ... 1.28233167e-08
  6.46077419e-13 3.31453148e-11]
 ...
 [3.06375778e-06 2.74125222e-13 7.06954848e-06 ... 1.44934192e-04
  2.17837328e-09 1.26867958e-07]
 [6.56251813e-09 2.01910053e-04 9.20395457e-14 ... 8.38990769e-07
  8.84083186e-01 1.15710222e-01]
 [1.32408703e-26 7.37571869e-33 5.51468243e-27 ... 2.94479822e-27
  2.75554269e-29 9.63004851e-28]]"
8,XGBoost,0.8747328620746342,0.8360734831944747,0.8408988521809845,0.8577610695169086,[ 7  7  4 ...  4 13  4],"[[1.9824597e-06 2.7993487e-08 5.1150244e-09 ... 3.5671539e-05
  1.5908107e-08 1.0775342e-06]
 [2.5705538e-05 2.5797195e-08 5.2862794e-09 ... 1.7518432e-05
  2.1308193e-08 1.2650088e-07]
 [1.5413739e-06 9.9058305e-08 2.1893225e-08 ... 1.3267025e-05
  8.2083083e-08 3.4061665e-07]
 ...
 [1.5413739e-06 9.9058305e-08 2.1893225e-08 ... 1.3267025e-05
  8.2083083e-08 3.4061665e-07]
 [1.3082174e-06 6.5463541e-06 4.5706219e-08 ... 1.6860492e-06
  9.9997288e-01 1.5178928e-05]
 [1.5413739e-06 9.9058305e-08 2.1893225e-08 ... 1.3267025e-05
  8.2083083e-08 3.4061665e-07]]"
8,MLP (Neural Net),0.7915173434160776,0.7588159655859567,0.7695930157491379,0.7741706183678082,[ 7  7  4 ...  4 13  4],"[[2.68628650e-27 1.44445007e-15 3.29579111e-18 ... 4.34997155e-13
  2.32310876e-14 1.68328288e-09]
 [5.79688741e-09 1.15700067e-07 1.90227903e-07 ... 3.39408230e-06
  4.94971345e-06 1.34126000e-06]
 [9.78019512e-22 1.04076251e-16 2.49343727e-11 ... 9.34528679e-16
  2.63152120e-12 6.43781570e-17]
 ...
 [5.59181117e-17 3.71230319e-13 1.81030735e-08 ... 2.43675481e-12
  5.86197588e-10 2.33086611e-13]
 [2.59298302e-14 1.23316600e-04 2.33851014e-09 ... 1.85206994e-06
  9.44407010e-01 5.54568921e-02]
 [2.92036514e-38 6.15420213e-29 1.52823235e-21 ... 2.03176328e-27
  2.36660730e-20 1.57996960e-29]]"
