Round,Model,Accuracy,F1,Precision,Recall,y_pred,probas
20,Random Forest,0.9243136610225218,0.8866560450747755,0.8829424938369574,0.9081858696537712,[ 7  7  4 ...  4 13  4],"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
20,LightGBM,0.9241821469669571,0.8851698546365042,0.8902458100980188,0.9131354005635137,[ 7  7  4 ...  4 13  4],"[[4.04664118e-08 2.35044860e-09 6.72494828e-10 ... 3.08243289e-07
  1.43190426e-09 1.96559290e-08]
 [3.48282357e-06 1.93047809e-09 6.55321482e-10 ... 4.63787441e-07
  1.46276312e-09 3.22623327e-09]
 [1.78907058e-08 1.94031304e-09 6.73376459e-10 ... 1.83492489e-07
  1.97377210e-09 2.86275214e-09]
 ...
 [1.79123985e-08 1.94263537e-09 6.74225311e-10 ... 1.83606396e-07
  1.97502912e-09 2.86772685e-09]
 [5.54875707e-08 6.01346173e-07 6.96455190e-09 ... 2.46743699e-07
  9.99997045e-01 1.63801446e-06]
 [1.78907058e-08 1.94031304e-09 6.73376459e-10 ... 1.83492489e-07
  1.97377210e-09 2.86275214e-09]]"
20,Logistic Regression,0.6804537234916982,0.6151752135909049,0.6464017076200979,0.6691991955806256,[ 7  7  4 ...  4 13  4],"[[5.82197940e-10 1.02888425e-05 1.12870699e-14 ... 9.47873032e-06
  2.15421698e-08 1.86427789e-05]
 [1.26599160e-08 3.21498070e-10 3.73364987e-09 ... 8.20738651e-05
  6.49725762e-10 1.15625076e-07]
 [2.34454397e-09 5.29307170e-18 4.70102332e-09 ... 4.36346310e-08
  4.61582874e-13 8.03982471e-11]
 ...
 [5.31669846e-06 7.83104178e-15 1.29753854e-05 ... 2.46970687e-04
  9.03096524e-10 1.49019003e-07]
 [7.56927842e-09 2.04391669e-04 2.21814008e-15 ... 8.67225209e-07
  9.43080838e-01 5.67103614e-02]
 [7.11024130e-25 1.16274175e-32 6.03806558e-25 ... 2.17475381e-25
  3.48695968e-28 5.69542823e-26]]"
20,XGBoost,0.930067400953477,0.896122863078018,0.892842202190473,0.9144371143458702,[ 7  7  4 ...  4 13  4],"[[9.92677201e-07 7.07140515e-08 7.56800400e-09 ... 2.12487703e-05
  2.30437998e-08 1.29204068e-06]
 [2.41084432e-04 8.62833645e-08 9.87865345e-09 ... 4.26921688e-05
  1.07646905e-07 8.54446611e-08]
 [1.84451517e-06 2.11744691e-07 2.90790965e-08 ... 9.98226551e-06
  2.27571491e-07 2.16496943e-07]
 ...
 [1.84451517e-06 2.11744691e-07 2.90790965e-08 ... 9.98226551e-06
  2.27571491e-07 2.16496943e-07]
 [7.15980548e-07 2.99943326e-06 2.03787316e-08 ... 6.74755313e-07
  9.99986172e-01 6.62499724e-06]
 [1.84451517e-06 2.11744691e-07 2.90790965e-08 ... 9.98226551e-06
  2.27571491e-07 2.16496943e-07]]"
20,MLP (Neural Net),0.8028275521946407,0.778264533740446,0.8056666343366509,0.7863667939669685,[ 7  7  4 ...  4 13  4],"[[6.80820517e-06 5.43285198e-07 3.54134542e-17 ... 1.62590411e-06
  1.06234856e-08 3.96809904e-05]
 [3.64695754e-11 3.47816562e-11 4.25549457e-11 ... 1.90355462e-06
  2.24977906e-11 1.42271937e-08]
 [4.52157010e-25 1.47509755e-16 1.67557242e-11 ... 9.58296001e-15
  1.26530766e-13 4.15330948e-15]
 ...
 [2.08813364e-19 1.17833948e-12 6.48613811e-08 ... 1.22977808e-10
  3.18860926e-10 4.17355488e-12]
 [1.14331427e-17 4.15560561e-06 1.04855119e-12 ... 1.05823092e-06
  9.99921742e-01 6.98501951e-05]
 [2.49335905e-41 2.48745186e-30 1.16896197e-23 ... 5.92244189e-25
  1.44721177e-24 3.48622160e-26]]"
