Round,Model,Accuracy,F1,Precision,Recall,y_pred,probas
6,Random Forest,0.8728587867828375,0.8335628878770982,0.8403185923528527,0.8576698941444729,[ 7  7  4 ...  4 13  4],"[[0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.002 0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 ...
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    1.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]]"
6,LightGBM,0.8683215518658557,0.8261240226475409,0.842289855357651,0.8575978015756022,[ 7  7  4 ...  4 13  4],"[[9.91089526e-07 2.23268803e-09 6.70330470e-10 ... 9.87095676e-07
  2.96240404e-09 2.66630911e-07]
 [4.24820092e-06 2.20892492e-09 6.34006179e-10 ... 6.23133305e-07
  2.72720055e-09 1.43316054e-08]
 [1.56395502e-07 2.56995535e-09 6.74571387e-10 ... 2.85574277e-07
  3.82863938e-09 1.41785621e-08]
 ...
 [1.56395502e-07 2.56995535e-09 6.74571387e-10 ... 2.85574277e-07
  3.82863938e-09 1.41785621e-08]
 [2.77713919e-07 3.23567884e-06 1.73131007e-08 ... 8.95375173e-07
  9.99987719e-01 6.05186351e-06]
 [1.56395502e-07 2.56995535e-09 6.74571387e-10 ... 2.85574277e-07
  3.82863938e-09 1.41785621e-08]]"
6,Logistic Regression,0.6732204504356403,0.6048761363984665,0.6411600495258012,0.6616105156252868,[ 7  7  4 ...  4 13  4],"[[1.49286495e-09 7.07387325e-06 2.37840993e-13 ... 6.70194059e-07
  1.80153571e-07 3.10081440e-06]
 [7.31411636e-09 1.85903251e-09 2.90640230e-09 ... 3.13101065e-05
  3.05164397e-09 5.67321445e-08]
 [6.10434791e-10 1.08495396e-16 1.07149688e-09 ... 1.13898360e-08
  4.87335363e-13 2.23999825e-11]
 ...
 [2.91996062e-06 3.68364443e-13 6.85157555e-06 ... 1.42316316e-04
  1.94309266e-09 9.67681952e-08]
 [6.75512540e-09 2.03606633e-04 8.70661976e-14 ... 7.89331456e-07
  8.84666350e-01 1.15124777e-01]
 [4.33363648e-27 3.69222677e-33 2.29107791e-27 ... 1.02666810e-27
  8.13512541e-30 2.58254639e-28]]"
6,XGBoost,0.8758836100608253,0.8390186306303772,0.8452110355339317,0.8591710092652229,[ 7  7  4 ...  4 13  4],"[[1.3942761e-06 3.3021280e-08 5.0855395e-09 ... 2.9174642e-05
  1.4595631e-08 1.7030954e-06]
 [2.5358209e-05 1.9091676e-08 4.5041881e-09 ... 1.6800224e-05
  1.6113471e-08 1.0205566e-07]
 [3.2997236e-06 9.4603386e-08 2.3240561e-08 ... 1.7188890e-05
  7.5788762e-08 4.1009943e-07]
 ...
 [3.2997236e-06 9.4603386e-08 2.3240561e-08 ... 1.7188890e-05
  7.5788762e-08 4.1009943e-07]
 [3.3535284e-06 1.1016447e-05 7.4480660e-08 ... 3.3203041e-06
  9.9995244e-01 2.5851055e-05]
 [3.2997236e-06 9.4603386e-08 2.3240561e-08 ... 1.7188890e-05
  7.5788762e-08 4.1009943e-07]]"
6,MLP (Neural Net),0.7918790070688805,0.7615742546224418,0.7747565683602902,0.77500481502726,[ 7  7  4 ...  4 13  4],"[[3.76789394e-23 2.60294096e-17 8.17537657e-26 ... 2.64189959e-18
  1.04239891e-14 7.78217225e-13]
 [2.18292809e-10 6.47888298e-10 1.97068753e-11 ... 3.21054887e-07
  5.43751686e-07 3.11605356e-07]
 [3.25925155e-30 1.66684546e-17 2.05209053e-13 ... 4.12293554e-18
  2.91810368e-14 8.20708960e-20]
 ...
 [2.27208031e-24 7.81553649e-13 6.38283727e-10 ... 3.49002707e-13
  4.64312624e-11 3.41167608e-15]
 [6.04131289e-12 5.30372519e-05 1.35810075e-09 ... 2.23176201e-07
  9.89058660e-01 1.08805754e-02]
 [4.76694466e-50 6.86170767e-33 1.17815558e-25 ... 6.73962625e-32
  2.14431452e-24 8.34281856e-34]]"
