Round,Model,Accuracy,F1,Precision,Recall,y_pred,probas
1,Random Forest,0.8731875719217491,0.8336088673935648,0.8402961087237447,0.8571730128318152,[ 7  7  4 ...  4 13  4],"[[0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 ...
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.998 0.002]
 [0.    0.    0.    ... 0.    0.    0.   ]]"
1,LightGBM,0.8698668420187408,0.828078223660688,0.8425336596675187,0.8590750256329779,[ 7  7  4 ...  4 13  4],"[[9.66922064e-07 2.60262875e-09 6.71036472e-10 ... 8.28805980e-07
  2.28290764e-09 1.65886965e-07]
 [2.59091972e-06 2.13780905e-09 6.32849379e-10 ... 5.94635607e-07
  2.55061711e-09 1.21072993e-08]
 [1.35817585e-07 2.56825117e-09 6.74273914e-10 ... 2.55512577e-07
  5.68811524e-09 1.53564401e-08]
 ...
 [1.35817585e-07 2.56825117e-09 6.74273914e-10 ... 2.55512577e-07
  5.68811524e-09 1.53564401e-08]
 [2.74326100e-07 1.82898028e-06 1.47079983e-08 ... 5.61632818e-07
  9.99989055e-01 6.40505368e-06]
 [1.35817585e-07 2.56825117e-09 6.74273914e-10 ... 2.55512577e-07
  5.68811524e-09 1.53564401e-08]]"
1,Logistic Regression,0.6732533289495315,0.6049113371508353,0.6411915774363183,0.6616513730241099,[ 7  7  4 ...  4 13  4],"[[4.76631287e-09 9.75150136e-06 1.89246375e-13 ... 2.50782644e-06
  5.27868178e-07 4.01487990e-06]
 [4.19297558e-09 1.54938698e-09 2.48681740e-09 ... 2.83768656e-05
  3.61996635e-09 4.40863484e-08]
 [8.17183625e-10 8.48301991e-17 1.29247804e-09 ... 1.43847922e-08
  9.58823546e-13 3.79982991e-11]
 ...
 [3.32938883e-06 2.85107313e-13 7.40919746e-06 ... 1.56048805e-04
  3.52317416e-09 1.31580104e-07]
 [5.89557353e-09 2.03859563e-04 6.32619127e-14 ... 6.66582941e-07
  8.84432483e-01 1.15360218e-01]
 [2.14557515e-26 5.27022872e-33 6.21820422e-27 ... 5.05297941e-27
  3.48256835e-29 1.97535355e-27]]"
1,XGBoost,0.8744698339635049,0.8359668205836261,0.8408141808828716,0.8586796422058599,[ 7  7  4 ...  4 13  4],"[[3.06275501e-06 3.38414878e-08 4.62075445e-09 ... 2.27118744e-05
  1.09536149e-08 9.91604907e-07]
 [1.57787726e-05 2.84406649e-08 4.38384040e-09 ... 1.80192037e-05
  1.36056180e-08 1.07433848e-07]
 [2.68427038e-06 1.21243076e-07 2.10712265e-08 ... 1.51432705e-05
  6.79772540e-08 4.28096399e-07]
 ...
 [2.68427038e-06 1.21243076e-07 2.10712265e-08 ... 1.51432705e-05
  6.79772540e-08 4.28096399e-07]
 [1.34838251e-06 5.03820229e-06 2.87321846e-08 ... 1.19089077e-06
  9.99976039e-01 1.45135491e-05]
 [2.68427038e-06 1.21243076e-07 2.10712265e-08 ... 1.51432705e-05
  6.79772540e-08 4.28096399e-07]]"
1,MLP (Neural Net),0.7924379418050305,0.7612341365072717,0.7711769853525283,0.7752740741067318,[ 7  7  4 ...  4 13  4],"[[1.51784777e-15 2.00206305e-08 2.97686715e-28 ... 9.26786283e-18
  1.80824745e-13 4.21255206e-10]
 [1.39113405e-05 7.13274387e-09 2.38805179e-09 ... 2.60659788e-06
  1.31473921e-07 1.29249819e-07]
 [3.43937846e-20 9.79561025e-17 4.44279515e-14 ... 6.59488389e-13
  6.48618223e-14 3.40275465e-14]
 ...
 [1.27181182e-15 7.12145204e-13 9.92294667e-11 ... 3.27443426e-09
  9.19490018e-11 8.30449313e-12]
 [2.55606350e-18 1.07301064e-04 3.29941366e-12 ... 2.86936386e-06
  9.84711534e-01 1.51747957e-02]
 [3.71421327e-35 6.41297096e-29 1.96820090e-26 ... 1.11927469e-23
  9.08790677e-24 5.15997564e-24]]"
