Round,Model,Accuracy,F1,Precision,Recall,y_pred,probas
4,Random Forest,0.8737465066578991,0.837489904132869,0.8423610598645276,0.8580814201775624,[ 7  7  4 ...  4 13  4],"[[0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 ...
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.002 0.    ... 0.    0.996 0.002]
 [0.    0.    0.    ... 0.    0.    0.   ]]"
4,LightGBM,0.8704915337826731,0.8282534258604741,0.8446787064508329,0.8595686459331754,[ 7  7  4 ...  4 13  4],"[[2.09287607e-07 2.47168873e-09 6.70947574e-10 ... 7.40515538e-07
  2.53679455e-09 1.60727824e-07]
 [2.16896174e-06 2.30083978e-09 6.32114489e-10 ... 6.45621074e-07
  2.65778861e-09 1.29020915e-08]
 [1.33573838e-07 2.56883989e-09 6.73686716e-10 ... 2.63887964e-07
  6.72577854e-09 1.35101854e-08]
 ...
 [1.33573838e-07 2.56883989e-09 6.73686716e-10 ... 2.63887964e-07
  6.72577854e-09 1.35101854e-08]
 [5.76938802e-07 5.13134211e-06 2.37229434e-08 ... 7.19733984e-07
  9.99984374e-01 6.57885270e-06]
 [1.33573838e-07 2.56883989e-09 6.73686716e-10 ... 2.63887964e-07
  6.72577854e-09 1.35101854e-08]]"
4,Logistic Regression,0.6732533289495315,0.6049039323681881,0.6411665124902015,0.6616513730241099,[ 7  7  4 ...  4 13  4],"[[2.06414365e-09 9.11797307e-06 1.48572021e-13 ... 1.34601410e-06
  3.89518526e-07 3.63338672e-06]
 [4.53189603e-09 3.45680709e-09 4.67085310e-09 ... 2.70054176e-05
  3.08792011e-09 7.19265922e-08]
 [9.94225896e-10 1.63430944e-16 1.74461541e-09 ... 1.56114845e-08
  6.82180097e-13 6.99005002e-11]
 ...
 [3.68425058e-06 4.54356759e-13 8.43412417e-06 ... 1.62969245e-04
  2.16144214e-09 2.11713994e-07]
 [5.61262618e-09 2.09875765e-04 7.16114363e-14 ... 6.63598741e-07
  8.84986644e-01 1.14799722e-01]
 [4.21919474e-26 2.71094119e-32 2.04859936e-26 ... 4.11153638e-27
  5.79686982e-29 5.30364554e-27]]"
4,XGBoost,0.8741410488245931,0.8364527873983008,0.840407821317074,0.857197279978122,[ 7  7  4 ...  4 13  4],"[[2.9178966e-06 3.8771834e-08 4.6388844e-09 ... 3.0473797e-05
  9.3862784e-09 1.1282510e-06]
 [2.2129405e-05 2.7007143e-08 4.3303778e-09 ... 1.6512371e-05
  1.7453797e-08 7.4206135e-08]
 [3.8440285e-06 8.0785185e-08 1.6205355e-08 ... 1.2557309e-05
  6.0738564e-08 3.5861186e-07]
 ...
 [3.8440285e-06 8.0785185e-08 1.6205355e-08 ... 1.2557309e-05
  6.0738564e-08 3.5861186e-07]
 [2.6331243e-06 7.2766293e-06 4.1351559e-08 ... 1.2698071e-06
  9.9997312e-01 1.3725316e-05]
 [3.8440285e-06 8.0785185e-08 1.6205355e-08 ... 1.2557309e-05
  6.0738564e-08 3.5861186e-07]]"
4,MLP (Neural Net),0.795429886569127,0.7593647741598436,0.7762739603921464,0.7778555235037851,[ 7  7  4 ...  4 13  4],"[[5.58581842e-22 6.27431611e-24 5.08143166e-33 ... 4.78425433e-21
  4.87928660e-21 4.39968146e-13]
 [8.90758920e-09 1.31194678e-08 2.09630007e-09 ... 4.59904394e-07
  8.86807055e-08 9.35995347e-08]
 [6.35963617e-25 1.97758000e-17 3.45060327e-13 ... 5.69421324e-18
  2.45442824e-13 1.57232505e-17]
 ...
 [7.80053115e-20 5.26353560e-13 8.59293372e-10 ... 3.45484334e-13
  3.12417670e-10 8.56608834e-14]
 [1.11149040e-14 5.74925232e-05 1.41773134e-09 ... 1.75432542e-06
  9.92273478e-01 7.64524206e-03]
 [5.30848886e-45 5.27128554e-32 1.66023396e-25 ... 2.16866903e-33
  2.43317050e-23 4.23982530e-32]]"
