Round,Model,Accuracy,F1,Precision,Recall,y_pred,probas
3,Random Forest,0.8746342265329607,0.8364625518705526,0.843891757981882,0.8599026644472644,[ 7  7  4 ...  4 13  4],"[[0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 ...
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.002 0.    ... 0.    0.996 0.002]
 [0.    0.    0.    ... 0.    0.    0.   ]]"
3,LightGBM,0.8655597566989972,0.8238606738432236,0.8400957085773542,0.8553810554217648,[ 7  7  4 ...  4 13  4],"[[3.46030811e-07 2.47859808e-09 6.70650855e-10 ... 8.07905820e-07
  2.89857857e-09 1.65836661e-07]
 [4.80713412e-06 2.28547167e-09 6.27439284e-10 ... 6.93934225e-07
  2.63487780e-09 1.26555441e-08]
 [1.73422649e-07 2.45817803e-09 6.74646100e-10 ... 2.80081676e-07
  2.89929555e-09 1.38642068e-08]
 ...
 [1.73422649e-07 2.45817803e-09 6.74646100e-10 ... 2.80081676e-07
  2.89929555e-09 1.38642068e-08]
 [4.72807588e-07 2.66352909e-06 2.55486494e-08 ... 8.45619420e-07
  9.99986511e-01 6.80169508e-06]
 [1.73422649e-07 2.45817803e-09 6.74646100e-10 ... 2.80081676e-07
  2.89929555e-09 1.38642068e-08]]"
3,Logistic Regression,0.6732204504356403,0.6048663700921798,0.6411181548707287,0.661617804712596,[ 7  7  4 ...  4 13  4],"[[1.81476096e-09 1.01386593e-05 1.36229130e-13 ... 9.97642077e-07
  3.40111644e-07 3.18845569e-06]
 [5.20300367e-09 3.08907017e-09 2.05296776e-09 ... 3.30541051e-05
  3.40932802e-09 7.23291295e-08]
 [7.56467225e-10 1.38508101e-16 1.34615385e-09 ... 1.35841569e-08
  2.53491629e-12 3.79770508e-11]
 ...
 [3.12856248e-06 4.68480372e-13 7.24701411e-06 ... 1.50559167e-04
  7.94024742e-09 1.40327435e-07]
 [8.15859974e-09 2.21262222e-04 9.76434850e-14 ... 8.36872912e-07
  8.84648860e-01 1.15124806e-01]
 [1.56224297e-26 7.97475527e-33 7.47422848e-27 ... 3.05334540e-27
  1.25726002e-28 1.26171517e-27]]"
3,XGBoost,0.8723656090744698,0.8320053294567047,0.8355202333560021,0.855534739517201,[ 7  7  4 ...  4 13  4],"[[7.18363765e-07 4.29348042e-08 3.95470279e-09 ... 2.69468237e-05
  1.07785318e-08 1.02341289e-06]
 [4.11020737e-05 2.76828231e-08 3.80916676e-09 ... 1.42310591e-05
  1.97792005e-08 9.51343466e-08]
 [2.64823643e-06 9.73530589e-08 1.59103326e-08 ... 1.32831865e-05
  5.92399658e-08 3.07491206e-07]
 ...
 [2.64823643e-06 9.73530589e-08 1.59103326e-08 ... 1.32831865e-05
  5.92399658e-08 3.07491206e-07]
 [7.75480203e-07 9.25533550e-06 4.11928163e-08 ... 4.07505195e-06
  9.99972761e-01 1.07854066e-05]
 [2.64823643e-06 9.73530589e-08 1.59103326e-08 ... 1.32831865e-05
  5.92399658e-08 3.07491206e-07]]"
3,MLP (Neural Net),0.793687325332895,0.7634540633154254,0.7755676939557552,0.7767124476058146,[ 7  7  4 ...  4 13  4],"[[6.65725734e-24 2.12992905e-17 3.41698381e-27 ... 1.33507813e-14
  3.70112497e-17 5.39697805e-12]
 [2.68421985e-08 1.30784017e-08 1.75568177e-10 ... 5.41299676e-06
  1.40304225e-07 4.48996194e-07]
 [2.40610499e-26 1.82621254e-16 6.60615246e-13 ... 2.71807307e-17
  1.16161230e-14 2.62905636e-17]
 ...
 [1.87446104e-21 1.25062756e-12 1.12038421e-09 ... 7.15247814e-13
  2.38911281e-11 9.36151644e-14]
 [5.44510763e-13 9.30944500e-05 4.91768219e-07 ... 1.48902317e-06
  9.81763815e-01 1.81215566e-02]
 [2.30824278e-45 2.16073818e-30 1.06769403e-24 ... 5.29680713e-31
  3.16308352e-25 1.86671114e-29]]"
