Round,Model,Accuracy,F1,Precision,Recall,y_test,y_pred,probas
9,Random Forest,0.8188065099457504,0.7844863698296197,0.7818725025534425,0.8043604896623425,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[0.    0.002 0.    ... 0.002 0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 ...
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.972 0.026]
 [0.    0.    0.    ... 0.    0.    0.   ]]"
9,LightGBM,0.8210422488903502,0.7861835375382137,0.7885142473782913,0.8097209301703606,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[2.76627349e-07 3.48719528e-09 7.35341021e-10 ... 2.14759710e-07
  2.67726343e-09 2.71999066e-09]
 [5.66365585e-08 1.47668110e-08 1.83192459e-09 ... 1.19449256e-07
  4.86626518e-09 1.09081892e-08]
 [4.71989256e-09 2.02915544e-09 7.98062989e-08 ... 8.32375826e-08
  2.52951352e-09 1.86294944e-09]
 ...
 [3.49312424e-09 2.36590256e-09 1.08255745e-07 ... 8.28143804e-08
  2.41474424e-09 1.99676977e-09]
 [1.20551077e-06 6.19961914e-06 8.54181360e-08 ... 1.27682047e-06
  9.99752308e-01 2.28381435e-04]
 [1.47729891e-07 1.69150895e-09 1.05447570e-07 ... 2.94122076e-08
  2.72768490e-09 2.38032252e-09]]"
9,Logistic Regression,0.7432188065099458,0.6985852350611191,0.7222975689058875,0.7338386394792223,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[4.01910629e-16 3.44071208e-32 1.95973054e-40 ... 5.12787456e-18
  2.62198437e-51 9.59582965e-56]
 [1.22648466e-10 1.07233136e-22 4.66916270e-15 ... 4.38906590e-19
  5.17820100e-26 3.66533880e-23]
 [1.90570086e-07 6.29551049e-13 2.49415732e-04 ... 3.73721704e-08
  3.15570019e-10 6.95515483e-09]
 ...
 [1.29513542e-05 4.17788810e-11 5.04772308e-03 ... 4.44274884e-06
  2.71267644e-08 5.32814288e-07]
 [4.62433577e-11 1.10738940e-03 2.93947059e-20 ... 2.71655718e-05
  9.40478112e-01 5.83320767e-02]
 [4.75443391e-16 1.95789222e-21 1.75599203e-10 ... 6.78072814e-18
  5.65925200e-19 1.05379236e-17]]"
9,XGBoost,0.8209764918625678,0.7881829179357612,0.7876682684787937,0.8091031621579396,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[2.1936641e-05 7.5644272e-07 2.9343727e-07 ... 4.1314754e-05
  9.6859810e-07 5.8751021e-07]
 [7.1924846e-06 9.2592904e-07 4.2143725e-07 ... 5.0415156e-06
  1.7726568e-06 1.3543903e-06]
 [5.2146123e-07 1.4439979e-07 6.0315879e-06 ... 2.7231176e-06
  8.6993701e-08 1.0345163e-07]
 ...
 [6.3839019e-07 2.5737313e-07 1.4231783e-05 ... 6.1740589e-06
  1.5439070e-07 2.2086968e-07]
 [5.0117501e-06 1.5810963e-05 3.7870726e-07 ... 1.4264305e-06
  9.9953079e-01 4.3234200e-04]
 [1.1865540e-06 7.2170941e-08 2.5814284e-06 ... 2.8356660e-06
  1.0656912e-07 1.2328459e-07]]"
9,MLP (Neural Net),0.8166694065428243,0.7808560253202986,0.821497180372863,0.808954989821785,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[1.27168319e-20 9.33787928e-28 5.17650693e-46 ... 1.06200316e-17
  1.71782449e-34 2.88065719e-38]
 [1.22061917e-18 2.81739490e-18 4.29849213e-19 ... 1.51976832e-21
  3.71977704e-23 1.47960508e-19]
 [1.88086889e-25 6.21467507e-13 5.85473348e-07 ... 3.18996740e-10
  2.43605508e-12 6.57284698e-12]
 ...
 [1.58499344e-23 2.67918483e-10 4.04587522e-05 ... 1.21639981e-08
  9.64948240e-11 7.33182068e-10]
 [3.79602278e-10 3.32661758e-05 7.86037113e-11 ... 3.78870274e-11
  9.99303164e-01 6.63074766e-04]
 [1.19645409e-32 1.63112319e-18 1.49056072e-12 ... 1.87952890e-15
  4.22210132e-16 7.76872252e-19]]"
