Round,Model,Accuracy,F1,Precision,Recall,y_test,y_pred,probas
8,Random Forest,0.8176886404734506,0.7829297542504342,0.7798251439582641,0.803695058944379,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[0.002 0.    0.    ... 0.002 0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 ...
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.99  0.01 ]
 [0.    0.    0.    ... 0.    0.    0.   ]]"
8,LightGBM,0.8201216505013973,0.7839689476981029,0.7854223828165778,0.8096218547578403,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[6.58494214e-09 3.00324568e-09 9.15670940e-10 ... 2.04615509e-08
  5.81813188e-09 3.91632340e-09]
 [1.43618600e-08 4.78978784e-09 1.66986587e-09 ... 2.37859696e-08
  7.45540834e-09 8.02595756e-09]
 [1.74343339e-08 2.41691057e-09 7.43794076e-08 ... 2.05772378e-07
  2.30259569e-09 1.82689818e-09]
 ...
 [2.32923712e-08 2.16369324e-09 2.53568642e-07 ... 1.46404272e-08
  2.36107078e-09 2.43195642e-09]
 [1.94985115e-07 9.41519646e-06 1.00120840e-07 ... 3.77128999e-06
  9.99793420e-01 1.83490392e-04]
 [4.50080716e-09 1.71042840e-09 9.21421244e-08 ... 1.56124611e-07
  2.55686112e-09 2.00501365e-09]]"
8,Logistic Regression,0.7491040604964656,0.705788150154873,0.7294201767797838,0.7407759948563493,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[5.28167915e-12 2.35016791e-08 1.70966312e-19 ... 2.08115274e-05
  3.99899050e-24 2.11304407e-25]
 [5.02940309e-07 1.85480004e-13 2.15305433e-05 ... 2.86736397e-11
  6.96400209e-13 4.17582478e-10]
 [3.68001964e-09 8.63606742e-17 4.15757339e-06 ... 9.11175911e-12
  4.43640073e-10 1.29862740e-08]
 ...
 [7.05017362e-06 4.70770556e-13 7.56966780e-04 ... 5.69158070e-09
  1.87974025e-07 4.32156822e-06]
 [7.36139357e-07 1.58799978e-03 1.44445622e-16 ... 3.20038802e-06
  9.40084870e-01 5.83009719e-02]
 [3.68156768e-24 3.39172014e-34 1.56461844e-16 ... 9.20470772e-25
  2.50319984e-22 2.54300506e-20]]"
8,XGBoost,0.8228505671543647,0.7910612560523592,0.7914471776839938,0.8118559334438644,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[1.2249936e-06 1.0866329e-06 8.0067622e-07 ... 9.0783669e-06
  1.8184456e-06 2.1052392e-06]
 [1.7479127e-06 9.5514474e-07 3.6089023e-06 ... 1.6809666e-06
  8.8170214e-07 1.1975125e-06]
 [4.9134201e-07 6.2629589e-08 8.5681577e-06 ... 2.7660265e-06
  1.0985866e-07 4.5724263e-08]
 ...
 [7.5132891e-07 7.5323655e-08 2.8062184e-05 ... 5.6866236e-07
  5.8990089e-08 5.4207604e-08]
 [8.8779387e-07 2.1641497e-05 8.6109975e-07 ... 1.5013811e-06
  9.9948871e-01 4.6849620e-04]
 [1.0373824e-07 8.4890658e-08 1.8301948e-06 ... 5.7509073e-06
  9.1209237e-08 9.5772315e-08]]"
8,MLP (Neural Net),0.8172612197928654,0.7840438305033858,0.8085525933417497,0.8102396159031628,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[2.64061785e-06 2.07268698e-16 3.50864347e-37 ... 6.51037668e-11
  2.75734960e-32 1.01229034e-31]
 [4.77039583e-20 9.67521073e-20 1.45555351e-07 ... 1.30911725e-15
  2.10783315e-24 1.34816907e-11]
 [6.72729917e-22 9.91678012e-15 9.23602062e-09 ... 1.61411405e-12
  2.27943354e-14 3.68333262e-14]
 ...
 [5.03553726e-18 3.72890629e-12 7.68593082e-06 ... 2.91102490e-10
  4.37357059e-12 3.19273814e-11]
 [1.69491046e-07 3.59125193e-05 1.09252683e-12 ... 3.08123882e-08
  9.99869976e-01 9.22864773e-05]
 [1.07021414e-32 1.43941481e-23 1.19997350e-15 ... 1.96960365e-17
  2.37394021e-20 3.55278505e-22]]"
