Round,Model,Accuracy,F1,Precision,Recall,y_test,y_pred,probas
5,Random Forest,0.8185106033207299,0.7840300195944171,0.7804690949496838,0.8040126332669948,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 ...
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.988 0.012]
 [0.    0.    0.    ... 0.    0.    0.   ]]"
5,LightGBM,0.8216669406542825,0.7859097874297466,0.7880028422472757,0.8103441996092344,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[2.88659535e-09 2.60935807e-09 8.33433794e-09 ... 2.62437793e-08
  4.31601401e-09 2.72569322e-09]
 [3.51430301e-09 4.58916567e-09 8.59549207e-10 ... 2.19883733e-08
  3.97486014e-09 8.43493185e-09]
 [2.76170180e-09 3.21257302e-09 2.44308155e-08 ... 3.45863377e-08
  2.21213222e-09 2.30346907e-09]
 ...
 [2.77121542e-08 2.47355407e-09 1.40551310e-08 ... 2.74784285e-08
  2.16773417e-09 2.34063149e-09]
 [2.58312638e-07 4.01580498e-05 1.10151308e-07 ... 3.88193826e-06
  9.99648336e-01 3.01661097e-04]
 [1.48704848e-09 1.91471921e-09 7.96723469e-08 ... 6.68436625e-08
  1.95894082e-09 2.42104505e-09]]"
5,Logistic Regression,0.7422982081209929,0.6976417739023316,0.7215773961537512,0.7339653502160209,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[2.46742437e-03 7.61465872e-25 3.83560214e-14 ... 6.81551190e-16
  7.12550668e-35 6.67027266e-41]
 [1.24978224e-10 1.81523160e-12 4.92628709e-13 ... 2.29329149e-16
  9.29470064e-17 3.01451705e-16]
 [2.77744232e-09 1.46988025e-14 1.72553475e-04 ... 7.13641085e-09
  1.48359042e-10 9.21488287e-09]
 ...
 [3.55636776e-06 2.07918827e-11 4.62870616e-03 ... 4.75566879e-07
  1.57293246e-08 7.29844569e-07]
 [9.13093002e-10 4.14317654e-03 1.37085550e-22 ... 1.57019065e-06
  9.38273508e-01 5.75791014e-02]
 [9.95332879e-24 3.09678342e-29 4.81109963e-11 ... 2.63053716e-17
  7.75756278e-20 1.41413726e-17]]"
5,XGBoost,0.820614828209765,0.788498527783387,0.7880912008787883,0.8087251071692729,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[1.9770796e-06 3.2905356e-07 1.4963371e-06 ... 4.7236899e-06
  9.4584323e-07 5.2535864e-07]
 [1.4234132e-06 1.6000995e-06 5.1549193e-07 ... 3.6174774e-06
  5.9692644e-07 1.2737653e-06]
 [2.5933278e-07 3.8959473e-07 1.7705943e-05 ... 4.7395629e-06
  2.3614196e-07 3.7763044e-07]
 ...
 [4.7269041e-06 3.9086314e-07 3.1378688e-05 ... 4.9158712e-06
  2.8152155e-07 2.6448694e-07]
 [2.3659599e-07 8.4354557e-05 2.5926849e-07 ... 1.0445948e-06
  9.9934763e-01 5.5045285e-04]
 [3.4400585e-07 1.4632180e-07 2.6650830e-06 ... 4.8438847e-06
  2.3812494e-07 3.3265164e-07]]"
5,MLP (Neural Net),0.8172612197928654,0.7808954378151114,0.8156826229052058,0.8100970445757678,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[2.03666297e-05 9.45720992e-21 1.84509479e-27 ... 4.10050821e-06
  3.15474221e-30 4.17326983e-20]
 [5.40467687e-13 1.05085440e-10 4.26256519e-13 ... 6.94804295e-14
  1.93662950e-12 4.10940880e-11]
 [5.13864223e-18 3.74966541e-13 1.06008868e-08 ... 2.75764330e-09
  1.95015046e-11 1.82120230e-16]
 ...
 [3.97146109e-15 1.05646883e-10 1.72422345e-05 ... 1.58534239e-08
  4.72467452e-10 3.69385173e-12]
 [1.26457464e-11 4.56649952e-06 3.50983812e-19 ... 1.39571251e-09
  9.99994301e-01 1.10779162e-06]
 [4.96023670e-27 5.33432185e-21 4.25797216e-21 ... 2.92335523e-10
  2.93411934e-13 1.36922141e-28]]"
