Round,Model,Accuracy,F1,Precision,Recall,y_pred,probas
18,Random Forest,0.8178859115567977,0.7848566388306403,0.7818673089262614,0.8040409852989164,[ 7  7  4 ...  4 13  4],"[[0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 ...
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.002 0.    ... 0.    0.984 0.014]
 [0.    0.    0.    ... 0.    0.    0.   ]]"
18,LightGBM,0.8202860430708532,0.7845112611976937,0.7865948775470045,0.8089148636391753,[ 7  7  4 ...  4 13  4],"[[9.23281353e-08 2.09579021e-09 7.51490455e-10 ... 2.04372963e-08
  6.42851352e-09 3.28171381e-09]
 [1.46432471e-08 7.43655580e-09 1.53231095e-09 ... 1.20199380e-08
  7.54670082e-09 1.18940005e-08]
 [2.19185067e-08 2.86142778e-09 1.46980666e-08 ... 1.94626837e-08
  2.36405532e-09 2.12754392e-09]
 ...
 [3.44734855e-08 6.07586201e-09 2.01720057e-08 ... 2.96810412e-08
  3.21159315e-09 2.54148203e-09]
 [2.66168257e-07 2.26430542e-05 1.28891184e-07 ... 1.03130340e-06
  9.99657860e-01 3.13135395e-04]
 [1.04427420e-08 2.14871149e-09 1.94963434e-08 ... 1.25263199e-07
  2.33653614e-09 4.10412329e-09]]"
18,Logistic Regression,0.7555153707052441,0.7142377885826455,0.7380546386908405,0.7467239984430217,[ 7  7  4 ...  4 13  4],"[[2.86513356e-21 1.52674803e-28 8.87746820e-40 ... 1.47316476e-28
  2.46895353e-29 1.69307212e-24]
 [1.49214621e-11 2.57408219e-12 3.33125668e-07 ... 5.30240801e-11
  2.03495646e-13 1.12588852e-10]
 [3.53658598e-06 2.19786727e-14 6.84552248e-04 ... 7.05028143e-09
  7.02888563e-08 1.22270234e-06]
 ...
 [1.47923626e-04 1.68614827e-12 7.84870513e-03 ... 8.37554843e-08
  3.25839085e-06 6.88466363e-05]
 [3.79392294e-07 4.47036427e-04 1.53610893e-22 ... 5.10428304e-06
  9.40459404e-01 5.90774256e-02]
 [9.00288843e-14 3.22891758e-23 7.26354399e-09 ... 6.41101262e-14
  1.13287203e-15 8.80033771e-15]]"
18,XGBoost,0.8223245109321059,0.7910292785062953,0.7909349796075423,0.8107578962591789,[ 7  7  4 ...  4 13  4],"[[9.95553273e-06 1.23735526e-06 2.59646839e-07 ... 5.73869329e-06
  2.41090015e-06 2.32527395e-06]
 [3.68610949e-06 1.78957441e-06 1.11153611e-06 ... 1.05751701e-06
  2.48494121e-06 8.53051631e-07]
 [1.96738142e-06 1.59024452e-07 4.23541724e-06 ... 1.88198044e-06
  1.22198117e-07 1.79295014e-07]
 ...
 [6.46566286e-06 2.23709037e-07 1.22175634e-05 ... 3.67948337e-06
  1.26617707e-07 2.09342673e-07]
 [2.37991244e-07 1.81263858e-05 1.22186123e-07 ... 7.26054907e-07
  9.99540269e-01 4.35647147e-04]
 [7.62340676e-07 1.12504409e-07 1.53739086e-06 ... 1.18804119e-05
  1.00801486e-07 2.14541245e-07]]"
18,MLP (Neural Net),0.8173598553345389,0.7800556512638409,0.8331096757673128,0.8106538351601995,[ 7  7  4 ...  4 13  4],"[[2.46502962e-12 3.07395572e-27 9.97950038e-39 ... 3.33498255e-17
  1.95343819e-32 1.40334954e-23]
 [4.91953297e-12 1.47641688e-14 2.43483189e-06 ... 7.40669237e-13
  1.03884990e-16 1.06001858e-10]
 [1.95784683e-15 3.44333197e-12 5.09660176e-05 ... 4.94644329e-07
  1.97653162e-10 1.16198833e-13]
 ...
 [7.62665542e-15 1.90256531e-09 2.71932097e-04 ... 3.38280854e-06
  2.18926914e-08 1.10388176e-10]
 [4.50395497e-09 1.78935697e-05 7.44350403e-13 ... 1.80649929e-10
  9.99973126e-01 7.16915803e-06]
 [6.74180136e-14 1.87211683e-21 6.35828688e-06 ... 5.17421544e-12
  2.79394184e-17 1.03194465e-20]]"
