Round,Model,Accuracy,F1,Precision,Recall,y_test,y_pred,probas
7,Random Forest,0.8180503041262535,0.7835023195384747,0.7802902079282297,0.8042467961165732,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 ...
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.988 0.012]
 [0.    0.    0.    ... 0.    0.    0.   ]]"
7,LightGBM,0.8203518000986355,0.7840041829545867,0.7853313715830116,0.8093661729218595,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[2.17647325e-08 1.00112024e-07 7.07750653e-10 ... 2.01299067e-08
  4.71182953e-09 7.84701295e-09]
 [3.37712815e-08 3.25546163e-08 7.63647719e-10 ... 1.52312816e-08
  1.65904171e-08 3.62778025e-09]
 [7.21763945e-08 2.07077125e-09 2.83318549e-08 ... 1.23833402e-07
  2.10963054e-09 2.75587313e-09]
 ...
 [4.75626127e-08 1.93128103e-09 4.35513051e-08 ... 1.29033128e-07
  1.93541652e-09 2.51155965e-09]
 [1.96737385e-07 2.69178989e-05 1.15624321e-07 ... 1.99388315e-06
  9.99631226e-01 3.32981720e-04]
 [1.07507130e-08 1.66763395e-09 4.29271080e-08 ... 2.65487998e-07
  2.70004360e-09 2.17224040e-09]]"
7,Logistic Regression,0.7523590333716916,0.7099232403756573,0.7347146839320032,0.7441244732194531,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[4.78382437e-37 6.46111227e-66 4.72101484e-58 ... 5.06008421e-56
  4.71069626e-65 7.19126795e-69]
 [6.69386929e-12 3.46209066e-29 8.30545432e-18 ... 2.90492897e-24
  1.17455894e-27 2.00549625e-27]
 [6.14075011e-07 6.68792164e-15 4.84815557e-06 ... 2.97748612e-10
  3.22509419e-11 3.27492835e-09]
 ...
 [6.38249030e-05 1.02270763e-12 7.42603174e-04 ... 8.42749659e-08
  1.68539589e-08 9.73493751e-07]
 [2.87816348e-14 1.56725965e-03 6.50481685e-24 ... 9.53386688e-06
  9.38058346e-01 6.03453828e-02]
 [2.37192486e-16 4.45723914e-25 3.51904008e-16 ... 1.11769587e-21
  8.17005281e-24 9.58697456e-21]]"
7,XGBoost,0.8238369225710998,0.791019094158865,0.7899127703812265,0.8119535063074576,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[4.02228216e-06 8.37260268e-06 9.17334972e-08 ... 3.82013059e-06
  2.08928236e-06 1.56692568e-06]
 [1.00091111e-05 2.87124976e-06 3.78216157e-07 ... 6.00560907e-06
  2.49261757e-06 7.43620092e-07]
 [8.25483221e-06 1.90883583e-07 2.58550263e-05 ... 1.86979032e-05
  4.22124913e-07 4.97349276e-07]
 ...
 [4.13136195e-06 1.11624892e-07 3.08060953e-05 ... 7.08802236e-06
  1.14201406e-07 1.65242440e-07]
 [2.56803531e-07 2.38438315e-05 2.58613909e-07 ... 1.62280446e-06
  9.99393702e-01 5.68928896e-04]
 [9.99579470e-07 1.17672677e-07 1.95197526e-06 ... 8.80723928e-06
  1.75316188e-07 2.30916385e-07]]"
7,MLP (Neural Net),0.8192339306263356,0.7895804169330674,0.8054832722577938,0.8110142393446165,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[1.27276328e-07 1.53689292e-45 5.34755504e-47 ... 8.29618179e-34
  1.36068969e-41 1.02805467e-40]
 [4.64324093e-10 1.41066192e-30 5.02720949e-19 ... 2.37568890e-22
  1.87986883e-22 1.43277361e-22]
 [6.30915975e-23 3.38943123e-15 1.31166135e-10 ... 1.72923267e-11
  1.68147169e-12 2.63691779e-13]
 ...
 [6.81605297e-20 3.22516897e-11 3.10950238e-07 ... 9.20660847e-09
  1.25762641e-09 2.12100353e-09]
 [4.53928154e-11 3.21441498e-05 5.04411034e-21 ... 1.79494205e-14
  9.99941701e-01 2.49153587e-05]
 [1.18726996e-32 7.59029515e-32 3.87380005e-24 ... 6.66935465e-21
  9.89440865e-24 6.08385951e-28]]"
