Round,Model,Accuracy,F1,Precision,Recall,y_test,y_pred,probas
6,Random Forest,0.8168009205983889,0.7827515013992564,0.77944831776162,0.8026907486541384,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[0.    0.    0.    ... 0.    0.    0.002]
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 ...
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.99  0.01 ]
 [0.    0.    0.    ... 0.    0.    0.   ]]"
6,LightGBM,0.8204175571264178,0.7842069246123853,0.7853383348170416,0.8098212866061321,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[4.17198957e-08 9.07534991e-09 9.38284806e-10 ... 1.53665161e-08
  8.71063756e-09 1.23449425e-08]
 [3.29758974e-08 5.06784227e-09 1.07969102e-09 ... 1.92261251e-08
  6.68525265e-09 1.27227191e-08]
 [2.69371602e-09 2.42717834e-09 5.27017682e-08 ... 1.94895016e-07
  3.04926422e-09 2.78168114e-09]
 ...
 [3.46639645e-09 2.77019433e-09 2.73404107e-08 ... 1.49023014e-07
  4.59726964e-09 2.97464227e-09]
 [2.01132568e-07 1.10515413e-05 7.12566483e-08 ... 8.13125071e-07
  9.99806883e-01 1.76133978e-04]
 [5.18688280e-09 1.84397294e-09 2.80685502e-08 ... 1.10800778e-07
  2.48602848e-09 4.73595462e-09]]"
6,Logistic Regression,0.7512411638993918,0.7072471783642367,0.7293163328513571,0.7426759509249904,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[5.66000606e-25 3.39099763e-29 4.95776540e-23 ... 1.76944572e-28
  3.81854700e-22 1.54039426e-21]
 [5.19883254e-14 7.92012889e-17 2.07789782e-09 ... 4.05606988e-16
  5.48046392e-15 3.38778319e-11]
 [1.00501829e-07 3.24315882e-15 5.90301640e-07 ... 1.49740232e-09
  5.55902307e-10 2.04624166e-08]
 ...
 [3.27343042e-05 1.58099709e-11 2.33681164e-04 ... 5.14619426e-07
  6.23780585e-08 2.03416371e-06]
 [4.09125118e-13 1.07463382e-03 1.62439766e-14 ... 1.57611998e-05
  9.43082156e-01 5.58105870e-02]
 [2.03979558e-19 1.90827063e-32 4.68569463e-19 ... 2.09150696e-21
  1.48577810e-19 9.58198364e-18]]"
6,XGBoost,0.8212723984875884,0.7889931113627594,0.7882019892740847,0.8098087905611887,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[9.5794339e-06 3.1364491e-06 2.9155444e-07 ... 2.0181342e-05
  3.8025034e-06 3.0348829e-06]
 [1.8029144e-05 5.4228997e-07 2.4814202e-07 ... 7.6880124e-06
  1.3977550e-06 8.2666060e-07]
 [1.1871180e-07 1.8029274e-07 8.8173911e-06 ... 5.9363720e-06
  2.2285737e-07 1.6279076e-07]
 ...
 [5.4085484e-07 2.9671460e-07 2.1290190e-05 ... 1.5485479e-05
  4.6753067e-07 3.6427193e-07]
 [3.3580770e-07 1.9889150e-05 3.5019673e-07 ... 8.4520360e-07
  9.9958920e-01 3.8012830e-04]
 [5.7645866e-07 1.0411327e-07 3.5469438e-06 ... 2.0078171e-06
  1.5310614e-07 4.0513729e-07]]"
6,MLP (Neural Net),0.8146638171954628,0.7848561305768521,0.7973420509188084,0.8057657526554013,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[3.33700255e-13 5.82086055e-25 2.68148990e-10 ... 8.12107565e-22
  3.13609459e-30 6.79875126e-13]
 [1.57942026e-23 4.38083542e-20 6.57020417e-08 ... 9.09484007e-17
  2.53417092e-25 2.80951974e-10]
 [7.99452460e-27 4.07384787e-14 4.50945183e-08 ... 1.36047808e-09
  1.00076636e-12 2.16916927e-11]
 ...
 [8.69674508e-23 1.25311089e-11 4.94485023e-06 ... 3.94205254e-08
  9.32251274e-12 2.83409561e-09]
 [2.62343833e-14 3.08867827e-05 1.17616586e-11 ... 9.21842130e-10
  9.99889621e-01 5.18410898e-05]
 [1.33749147e-43 1.35018128e-22 2.41972528e-15 ... 3.59960148e-16
  2.18918664e-16 8.72001765e-17]]"
