Round,Model,Accuracy,F1,Precision,Recall,y_test,y_pred,probas
4,Random Forest,0.8168337991122802,0.7821887009296385,0.7786828437431054,0.8031454076934386,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.    0.   ]
 ...
 [0.    0.    0.    ... 0.    0.    0.   ]
 [0.    0.    0.    ... 0.    0.992 0.008]
 [0.    0.    0.    ... 0.    0.    0.   ]]"
4,LightGBM,0.8197271083347033,0.7843071659002804,0.7861672987404729,0.8088117092475907,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[1.15128620e-07 2.63477680e-09 8.37232635e-10 ... 1.39616949e-07
  5.98386556e-09 2.47496470e-09]
 [1.02516598e-08 4.96233024e-09 2.94427156e-09 ... 1.64977928e-08
  1.25782756e-08 7.15424287e-09]
 [3.01330774e-09 2.83127934e-09 7.25172461e-08 ... 9.27960249e-08
  2.20878387e-09 3.04014026e-09]
 ...
 [3.30503543e-09 4.62345068e-09 3.00396123e-07 ... 2.72363846e-08
  2.96600464e-09 3.82780559e-09]
 [2.06663192e-07 2.92659340e-05 1.15088871e-07 ... 1.57469620e-06
  9.99702096e-01 2.58385907e-04]
 [2.98670717e-08 4.51707082e-09 2.17615771e-08 ... 7.49875126e-08
  2.33801938e-09 5.96687061e-09]]"
4,Logistic Regression,0.7530823606772974,0.709813873791441,0.733609620960433,0.7438573838883219,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[1.07708998e-11 1.24615619e-24 2.37537208e-29 ... 1.77496269e-22
  3.24487353e-39 1.20231823e-35]
 [2.21261261e-08 1.66420835e-15 2.20034996e-11 ... 3.41774988e-13
  2.82910283e-19 1.09343305e-16]
 [1.38830553e-07 1.30391299e-12 1.06936351e-04 ... 2.07521668e-10
  3.12450126e-10 9.89547103e-08]
 ...
 [2.03300927e-05 8.19691178e-10 3.19541423e-03 ... 9.09935685e-08
  2.50431527e-08 5.84449916e-06]
 [4.04394755e-10 2.77152832e-03 6.26139324e-23 ... 3.55395191e-06
  9.40952231e-01 5.62578119e-02]
 [1.11742231e-17 1.09263952e-25 1.33158247e-11 ... 9.83368373e-23
  4.14531514e-19 5.16773641e-16]]"
4,XGBoost,0.822357389445997,0.7887183711234607,0.7879387771701649,0.8109324311058994,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[1.8809422e-05 1.4291426e-06 2.3502150e-07 ... 1.4924104e-05
  1.7165387e-06 7.3327948e-07]
 [3.6548131e-06 9.0176042e-07 1.8042059e-06 ... 1.1215716e-06
  8.2953392e-07 1.7565131e-07]
 [2.8944248e-07 3.0574151e-07 9.4201268e-06 ... 5.5792084e-06
  1.2627061e-07 1.1135669e-07]
 ...
 [3.2589250e-07 3.5876610e-07 2.3375227e-05 ... 1.0297865e-06
  2.9895764e-07 1.8977727e-07]
 [4.1957452e-07 3.4202891e-05 3.5852693e-07 ... 1.1764890e-06
  9.9930203e-01 6.5191963e-04]
 [9.9683803e-07 7.5517733e-08 2.0320324e-06 ... 9.3280605e-06
  1.0447614e-07 8.6045468e-08]]"
4,MLP (Neural Net),0.8130856485286865,0.77798550764757,0.8091175543927862,0.8056001200941961,[ 7  7  4 ...  4 13  4],[ 7  7  4 ...  4 13  4],"[[4.02733987e-19 7.43531544e-24 7.33267178e-32 ... 5.25108977e-27
  2.17944980e-40 2.05621302e-40]
 [3.02272006e-13 1.23724062e-15 8.76775264e-11 ... 6.90077250e-16
  2.28170342e-18 1.24827252e-20]
 [1.15495842e-16 2.11013114e-12 1.43318554e-06 ... 2.26445533e-11
  4.69737688e-10 9.44821147e-11]
 ...
 [1.21284078e-13 1.45149750e-09 2.23885485e-05 ... 3.85185854e-08
  7.77410039e-08 2.50451902e-08]
 [7.58817434e-14 1.13063777e-04 1.19140188e-11 ... 4.60666335e-09
  9.99353459e-01 5.13325224e-04]
 [1.15890818e-26 1.85396993e-20 9.23019219e-13 ... 1.49701865e-22
  1.23141922e-17 9.93924619e-19]]"
